ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,vader_score,sentiment_category,complaint_theme
3,829,14,2023-05-13,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
7,743,18,2023-07-09,1,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
8,337,16,2023-01-15,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
24,771,5,2023-05-02,2,The product broke after just one week of use.,-0.4215,Negative,Product Performance
45,724,2,2024-10-18,2,The product broke after just one week of use.,-0.4215,Negative,Product Performance
49,35,15,2024-05-22,2,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
51,838,16,2024-11-11,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
69,692,13,2024-03-16,2,The product broke after just one week of use.,-0.4215,Negative,Product Performance
73,498,7,2023-06-28,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
74,421,8,2024-09-09,2,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
81,802,15,2024-04-07,2,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
106,418,16,2024-12-28,1,The product broke after just one week of use.,-0.4215,Negative,Product Performance
116,544,4,2024-08-29,2,The product broke after just one week of use.,-0.4215,Negative,Product Performance
133,648,7,2024-07-10,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
142,846,15,2024-06-06,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
143,53,9,2024-12-29,2,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
144,66,13,2023-07-03,2,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
153,196,12,2024-02-03,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
166,645,6,2023-05-02,1,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
198,727,9,2023-06-06,1,The product broke after just one week of use.,-0.4215,Negative,Product Performance
201,212,7,2024-08-15,2,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
210,456,7,2023-03-08,2,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
215,768,2,2024-12-20,1,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
217,693,18,2024-09-25,2,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
247,390,15,2024-08-08,1,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
262,238,4,2023-10-30,1,The product broke after just one week of use.,-0.4215,Negative,Product Performance
264,374,8,2024-01-05,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
269,657,13,2024-09-08,2,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
278,729,5,2023-02-12,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
301,228,9,2024-01-07,2,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
314,262,6,2023-11-09,2,The product broke after just one week of use.,-0.4215,Negative,Product Performance
321,762,17,2023-12-30,1,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
324,767,14,2024-07-06,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
353,888,12,2024-06-12,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
360,851,4,2023-05-21,2,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
370,667,11,2023-03-08,1,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
376,322,18,2024-04-02,2,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
378,790,16,2024-04-28,2,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
380,885,5,2024-12-09,1,The product broke after just one week of use.,-0.4215,Negative,Product Performance
391,318,13,2023-02-13,1,The product broke after just one week of use.,-0.4215,Negative,Product Performance
399,331,4,2023-08-23,1,The product broke after just one week of use.,-0.4215,Negative,Product Performance
405,809,7,2024-03-25,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
421,350,17,2023-09-17,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
423,602,6,2024-07-06,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
425,326,3,2023-10-18,1,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
438,190,9,2023-11-11,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
451,153,15,2024-01-22,2,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
454,833,7,2024-06-12,2,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
458,572,16,2024-05-19,1,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
461,505,6,2023-07-20,2,The product broke after just one week of use.,-0.4215,Negative,Product Performance
471,869,11,2024-06-04,2,The product broke after just one week of use.,-0.4215,Negative,Product Performance
479,824,1,2023-12-12,2,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
491,335,6,2023-04-24,1,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
529,225,15,2023-09-24,2,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
543,558,3,2023-01-16,2,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
546,995,6,2023-04-02,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
554,879,7,2023-04-15,1,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
558,493,3,2024-03-12,1,The product broke after just one week of use.,-0.4215,Negative,Product Performance
609,328,12,2024-05-10,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
