ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,vader_score,sentiment_category
1,911,9,2023-07-04,5,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
2,718,10,2024-04-09,5,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
3,829,14,2023-05-13,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative
4,182,3,2023-12-02,2,Delivery was slow and product did not match the description.,0.0,Neutral
5,122,7,2024-04-29,3,Good product overall but the price is a bit high.,0.2382,Mixed Positive
6,665,11,2024-04-27,1,The quality does not meet expectations I had.,0.0,Neutral
7,743,18,2023-07-09,1,"Average product, nothing special about it.",-0.3089,Negative
8,337,16,2023-01-15,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative
9,337,4,2024-08-16,5,"Great quality and fast delivery, highly recommend.",0.7841,Positive
10,554,13,2024-03-20,3,Quality is acceptable but expected better for this price.,0.6705,Mixed Positive
11,262,13,2023-04-25,4,"Amazing value for money, will buy again.",0.7351,Positive
12,825,13,2023-05-20,5,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
13,572,17,2024-09-28,4,"Top quality item, very satisfied with my order.",0.5984,Positive
14,848,9,2024-07-21,5,"Great quality and fast delivery, highly recommend.",0.7841,Positive
15,190,9,2024-11-25,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
16,483,14,2024-09-17,4,"Top quality item, very satisfied with my order.",0.5984,Positive
17,668,18,2024-07-28,2,"Not satisfied, expected much better quality.",0.1451,Mixed Positive
18,94,7,2024-06-26,3,Good product overall but the price is a bit high.,0.2382,Mixed Positive
19,334,5,2023-10-10,4,"Excellent product, works exactly as described.",0.5719,Positive
20,118,12,2024-02-12,4,"Fantastic product, my whole family loves it.",0.8074,Positive
21,911,7,2023-05-13,5,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
22,343,8,2023-06-10,3,Good product overall but the price is a bit high.,0.2382,Mixed Positive
23,5,9,2024-11-21,2,"Overpriced for what you get, very average performance.",0.0,Neutral
24,771,5,2023-05-02,2,The product broke after just one week of use.,-0.4215,Negative
25,56,15,2023-06-08,4,"Fantastic product, my whole family loves it.",0.8074,Positive
26,399,15,2024-12-30,4,"Great quality and fast delivery, highly recommend.",0.7841,Positive
27,205,8,2023-07-19,4,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
28,54,11,2024-07-09,4,"Top quality item, very satisfied with my order.",0.5984,Positive
29,591,2,2024-08-06,5,"Fantastic product, my whole family loves it.",0.8074,Positive
30,179,9,2024-10-18,5,"Great quality and fast delivery, highly recommend.",0.7841,Positive
31,397,16,2024-06-15,4,"Great quality and fast delivery, highly recommend.",0.7841,Positive
32,62,8,2024-01-11,4,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
33,226,2,2023-06-19,4,"Amazing value for money, will buy again.",0.7351,Positive
34,19,9,2024-03-31,1,The quality does not meet expectations I had.,0.0,Neutral
35,204,9,2024-06-30,5,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
36,224,8,2024-04-04,5,"Fantastic product, my whole family loves it.",0.8074,Positive
37,760,7,2024-04-04,4,"Amazing value for money, will buy again.",0.7351,Positive
38,846,1,2024-09-16,4,"Excellent product, works exactly as described.",0.5719,Positive
39,671,16,2024-06-24,4,"Great quality and fast delivery, highly recommend.",0.7841,Positive
40,935,10,2023-06-11,3,Good product overall but the price is a bit high.,0.2382,Mixed Positive
41,790,17,2023-08-15,5,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
42,958,4,2023-10-02,4,"Great quality and fast delivery, highly recommend.",0.7841,Positive
43,421,4,2024-10-23,5,"Amazing value for money, will buy again.",0.7351,Positive
44,1,16,2024-11-03,4,"Amazing value for money, will buy again.",0.7351,Positive
45,724,2,2024-10-18,2,The product broke after just one week of use.,-0.4215,Negative
46,47,2,2023-03-13,4,"Amazing value for money, will buy again.",0.7351,Positive
47,915,14,2024-10-30,5,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
48,649,18,2024-05-21,4,"Amazing value for money, will buy again.",0.7351,Positive
49,35,15,2024-05-22,2,"Average product, nothing special about it.",-0.3089,Negative
50,85,3,2023-03-09,5,"Amazing value for money, will buy again.",0.7351,Positive
51,838,16,2024-11-11,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative
52,355,10,2024-02-26,3,Good product overall but the price is a bit high.,0.2382,Mixed Positive
53,861,16,2023-12-29,4,"Top quality item, very satisfied with my order.",0.5984,Positive
54,370,4,2024-05-13,4,"Amazing value for money, will buy again.",0.7351,Positive
55,486,10,2024-06-19,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
56,731,18,2024-10-11,4,"Fantastic product, my whole family loves it.",0.8074,Positive
57,141,6,2024-05-04,5,"Excellent product, works exactly as described.",0.5719,Positive
58,748,10,2023-12-27,5,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
59,29,18,2024-06-09,5,"Amazing value for money, will buy again.",0.7351,Positive
60,676,10,2023-11-10,4,"Excellent product, works exactly as described.",0.5719,Positive
61,633,17,2024-01-06,4,"Fantastic product, my whole family loves it.",0.8074,Positive
62,670,16,2023-06-10,4,"Fantastic product, my whole family loves it.",0.8074,Positive
63,872,10,2024-06-17,1,"Product quality is average at best, not worth the price.",0.5475,Mixed Positive
64,491,16,2023-01-13,4,"Excellent product, works exactly as described.",0.5719,Positive
65,683,12,2023-07-25,5,"Great quality and fast delivery, highly recommend.",0.7841,Positive
66,196,18,2024-04-14,5,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
67,565,3,2024-02-29,4,"Fantastic product, my whole family loves it.",0.8074,Positive
68,85,15,2023-01-03,4,"Top quality item, very satisfied with my order.",0.5984,Positive
69,692,13,2024-03-16,2,The product broke after just one week of use.,-0.4215,Negative
70,603,3,2023-06-22,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
71,622,5,2023-11-15,1,The quality does not meet expectations I had.,0.0,Neutral
72,958,7,2024-06-14,4,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
73,498,7,2023-06-28,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative
74,421,8,2024-09-09,2,"Average product, nothing special about it.",-0.3089,Negative
75,633,11,2023-03-22,2,"Not satisfied, expected much better quality.",0.1451,Mixed Positive
76,207,2,2023-02-21,5,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
77,647,15,2023-02-03,3,Good product overall but the price is a bit high.,0.2382,Mixed Positive
78,614,3,2023-12-31,5,"Fantastic product, my whole family loves it.",0.8074,Positive
79,507,1,2024-04-04,4,"Excellent product, works exactly as described.",0.5719,Positive
80,446,10,2023-07-12,5,"Excellent product, works exactly as described.",0.5719,Positive
81,802,15,2024-04-07,2,Disappointed with the performance of this item.,-0.4767,Negative
82,893,3,2024-04-18,4,"Top quality item, very satisfied with my order.",0.5984,Positive
83,127,11,2024-06-30,5,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
84,615,13,2023-10-03,5,"Excellent product, works exactly as described.",0.5719,Positive
85,804,1,2024-02-03,3,Good product overall but the price is a bit high.,0.2382,Mixed Positive
86,293,3,2023-10-24,5,"Top quality item, very satisfied with my order.",0.5984,Positive
87,405,13,2024-01-25,4,"Excellent product, works exactly as described.",0.5719,Positive
88,790,17,2024-04-03,2,The quality does not meet expectations I had.,0.0,Neutral
89,376,1,2023-04-18,5,"Fantastic product, my whole family loves it.",0.8074,Positive
90,516,8,2023-09-18,3,Good product overall but the price is a bit high.,0.2382,Mixed Positive
91,748,11,2024-11-29,5,"Great quality and fast delivery, highly recommend.",0.7841,Positive
92,713,4,2024-11-26,4,"Top quality item, very satisfied with my order.",0.5984,Positive
93,598,15,2023-04-20,5,"Fantastic product, my whole family loves it.",0.8074,Positive
94,450,18,2024-04-04,5,"Excellent product, works exactly as described.",0.5719,Positive
95,509,2,2023-07-20,5,"Top quality item, very satisfied with my order.",0.5984,Positive
96,580,10,2023-03-13,5,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
97,482,3,2023-11-05,4,"Fantastic product, my whole family loves it.",0.8074,Positive
98,29,2,2024-07-26,5,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
99,71,10,2023-09-30,4,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
100,462,4,2024-10-25,5,"Great quality and fast delivery, highly recommend.",0.7841,Positive
101,479,16,2023-08-10,5,"Fantastic product, my whole family loves it.",0.8074,Positive
102,642,8,2023-12-04,1,"Overpriced for what you get, very average performance.",0.0,Neutral
103,311,6,2023-03-06,4,"Fantastic product, my whole family loves it.",0.8074,Positive
104,479,16,2024-08-22,5,"Top quality item, very satisfied with my order.",0.5984,Positive
105,153,2,2024-12-04,4,"Excellent product, works exactly as described.",0.5719,Positive
106,418,16,2024-12-28,1,The product broke after just one week of use.,-0.4215,Negative
107,716,7,2024-10-19,4,"Great quality and fast delivery, highly recommend.",0.7841,Positive
108,865,4,2024-11-30,4,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
109,14,12,2024-08-23,5,"Top quality item, very satisfied with my order.",0.5984,Positive
110,279,3,2023-11-24,4,"Fantastic product, my whole family loves it.",0.8074,Positive
111,183,1,2024-08-24,5,"Great quality and fast delivery, highly recommend.",0.7841,Positive
112,933,4,2024-05-22,4,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
113,266,16,2024-11-23,4,"Amazing value for money, will buy again.",0.7351,Positive
114,413,3,2023-02-17,5,"Top quality item, very satisfied with my order.",0.5984,Positive
115,491,3,2024-07-22,4,"Great quality and fast delivery, highly recommend.",0.7841,Positive
